"year","month","T_ave"
2007,10,59.4967741935484
2007,11,41.98
2007,12,30.7483870967742
2008,1,26.9322580645161
2008,2,26.3275862068966
2008,3,38.9354838709677
2008,4,51.41
2008,5,59.2354838709677
2008,6,73.7033333333333
2008,7,74.4096774193548
2008,8,72.5354838709677
2008,9,67.1
2008,10,54.4709677419355
2008,11,39.7766666666667
2008,12,27.0806451612903
2009,1,20.4032258064516
2009,2,31.9464285714286
2009,3,44.158064516129
2009,4,51.81
2009,5,63.1322580645161
2009,6,73.0333333333333
2009,7,70.4032258064516
2009,8,70.6064516129032
2009,9,66.5233333333333
2009,10,50.1612903225806
2009,11,46.2233333333333
2009,12,29.1032258064516
2010,1,21.0741935483871
2010,2,25.5928571428571
2010,3,44.0903225806452
2010,4,59.2133333333333
2010,5,64.9774193548387
2010,6,74.8066666666667
2010,7,77.3516129032258
2010,8,77.2129032258065
2010,9,67.53
2010,10,57
2010,11,42.81
2010,12,24.1225806451613
2011,1,22.9483870967742
2011,2,30.5285714285714
2011,3,42.0322580645161
2011,4,53.5
2011,5,62.4516129032258
2011,6,72.9566666666667
2011,7,80.2322580645161
2011,8,75.3935483870968
2011,9,63.4866666666667
2011,10,54.7612903225806
2011,11,45.68
2011,12,35.1103448275862
2012,1,31.5354838709677
2012,2,34.9689655172414
2012,3,54.4387096774194
2012,4,54.56
2012,5,68.851724137931
2012,6,72.8033333333333
2012,7,81.641935483871
2012,8,73.5387096774193
2012,9,64.07
2012,10,51.2290322580645
2012,11,40.3866666666667
2012,12,36.5612903225806
2013,1,28.9064516129032
2013,2,29.6857142857143
2013,3,34.358064516129
2013,4,50.6033333333333
2013,5,64.5161290322581
2013,6,71.3
2013,7,73.0032258064516
2013,8,73.2161290322581
2013,9,69.1166666666667
2013,10,54.4741935483871
2013,11,38.5533333333333
2013,12,27.4096774193548
2014,1,19.5161290322581
2014,2,19.8678571428571
2014,3,34.6
2014,4,52.9
2014,5,63
2014,6,73.26
2014,7,70.5870967741936
2014,8,73.4193548387097
2014,9,64.6133333333333
2014,10,54.0032258064516
2014,11,35.1333333333333
2014,12,33.2870967741936
2015,1,25.4290322580645
2015,2,20.025
2015,3,38.1870967741935
2015,4,54.6166666666667
2015,5,66.0806451612903
2015,6,72.47
2015,7,73.9967741935484
2015,8,72.4193548387097
2015,9,69.5766666666667
2015,10,56.3774193548387
2015,11,46.04
2015,12,40.6032258064516
