 Gender(0=Male;1=Female;2=Other;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Suburb;3=Big_City;) Ethnicity(0=White;1=Black;2=Hispanic;3=Asian;4=Mixed;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Other_Religion;6=Agnostic;7=Atheist;) Religious ACT GPA Party_Hours_per_week Drinks_per_week Num._Sex_Partners Num._Relationships First_Kiss_Age(26=still_waiting;) Fav._Life_Period(0=Kindergarten;1=lower_grades;2=middle_school;3=High_School;4=College;) Hours_call_parents Social_media(10=V10_or_more;) Texts Good_or_Well Parent_Relationship Work_Hours_per_week Percent_Parents_pay_tuition Career(0=No_Idea;1=Some_Idea;2=Nervous;3=Concrete_plan;4=Grad_School;5=Other;) 
 1 1 0 2 2 0 6 25 4 10 10 1 1 13 3 5 2 5 7 8 10 10 2 
 0 0 0 3 3 7 0 31 2.7 0 0 0 1 20 4 3 10 5 5 9 5 100 2 
 1 1 0 3 2 6 4 27 3.5 13 12 4 1 14 4 5 3 3 3 10 0 10 4 
 1 1 0 2 0 0 1 33 4 0 0 0 0 26 3 5 2 10 3 5 0 50 4 
 1 1 0 2 0 5 5 23 2.8 6 2 2 1 18 3 5 3 4 6 8 0 100 4 
 1 1 0 3 2 0 5 22 2.5 0 0 1 1 19 4 7 10 4 10 7 15 100 2 
 0 0 1 2 5 3 8 31 3.1 6 10 0 0 18 3 5 2 6 4 9 5 100 5 
 0 0 0 2 2 6 0 25 2.5 3 6 1 1 13 4 0 2 3 3 7 20 20 2 
 0 0 0 3 1 6 2 24 2.9 6 3 7 3 12 3 1 2 3 3 7 0 0 2 
 1 1 0 2 0 0 4 31 4 10 8 1 1 18 3 3 3 5 4 7 0 100 4 
 1 1 0 2 0 1 7 27 3.9 5 6 0 0 14 3 4 10 4 5 10 0 100 3 
 1 1 0 2 1 0 8 24 3 5 1 0 0 26 0 9 3 5 7 7 0 90 4 
 1 1 0 3 2 5 6 21 3.5 12 4 1 1 16 1 3 2 4 7 8 40 50 1 
 1 1 1 0 0 0 6 26 4 10 18 2 1 15 3 1 1 4 3 7 20 50 1 
 1 1 1 2 0 6 3 26 4 5 4 1 1 16 3 3 2 5 5 8 5 80 2 
 0 0 0 2 2 0 9 35 3.2 3 0 7 4 15 4 18 4 4 9 8 0 0 3 
 0 0 1 0 0 0 3 31 3.8 20 30 4 2 5 4 2 0 8 10 7 0 90 4 
 0 0 0 3 2 7 0 28 4 10 15 4 3 14 3 7 3 2 6 5 0 20 3 
 1 1 0 1 0 0 0 25 4 0 0 0 1 19 4 6 9 3 5 10 0 40 2 
 1 1 0 2 3 0 8 29 4 0 0 0 0 26 3 5 1 5 6 10 0 30 0 
 1 1 0 3 0 6 2 29 3.7 12 9 2 1 14 4 3 1 3 5 10 0 60 3 
 1 1 0 2 2 0 7 25 4 4 5 2 1 15 3 7 3 4 3 10 0 90 3 
 1 1 0 2 0 6 3 32 3.4 0 0 0 0 26 4 2 3 5 4 10 0 50 2 
 1 1 0 1 0 6 5 29 3.5 5 0 1 1 16 4 1 1 2 3 8 0 10 2 
 1 1 0 0 0 0 5 32 3.5 3 1 0 1 17 3 10 2 5 0 10 0 90 4 
 1 1 1 0 0 0 7 22 3.7 0 0 1 1 18 3 4 10 3 5 9 0 90 3 
 1 1 1 2 1 0 9 27 3.5 5 5 1 0 14 2 10 10 6 7 8 0 90 3 
 0 0 0 0 0 0 4 23 3.9 10 20 2 1 15 4 3 2 10 9 9 0 100 4 
 1 1 0 0 2 0 3 28 3 4 3 3 3 14 3 3 2 4 5 0 0 20 3 
 1 1 0 2 0 6 0 30 4 5 2 0 0 26 3 1 5 3 4 7 0 50 1 
