"gender","genderID","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Male","Male",74,203,13,"Sophomore",1,1,101,1,7,8,56,58,3,"one",100
"Male","Male",72,166,10.5,"Freshman",0,4,100,80,7,10,48,49,9,"millions",90
"Female","Female",68,120,9,"Sophomore",4,3,90,65,7,15,52,55,7,"few",100
"Male","Male",71,200,10.5,"Junior",10,1,150,1000,8,20,41,60,5,"millions",0
"Female","Female",65,139,9,"Graduate",1,0,0,100,7,9,47,49,2,"few",50
"Female","Female",65,125,8,"Freshman",2,1,105,120,5,6,57,52,8,"dozens",20
"Male","Male",70,175,11.5,"Freshman",1,2,90,100,6,3,50,50,5,"few",50
"Female","Female",67,135,8.5,"Freshman",3,3,100,50,7,15,45,52,10,"few",35
"Female","Female",68,125,7.5,"Freshman",0,2,90,25,8,15,56,57,7,"dozens",90
"Female","Female",66,130,7.5,"Freshman",6,4,90,300,8,15,51,50,3,"one",100
"Male","Male",70,167,10,"Sophomore",2,1,90,40,8,9,48,52,2,"one",70
"Female","Female",63,200,7,"Freshman",4,1,110,0,6,9,41,49,4,"few",50
"Female","Female",65,113,9,"Freshman",6,5,80,2,6,9,51,58,9,"few",45
"Female","Female",66,155,9.5,"Freshman",3,1,90,25,7,30,59,58,3,"one",96
"Female","Female",66,175,9,"Sophomore",30,5,130,5,7,42,65,65,4,"dozens",33
"Female","Female",62,125,7.5,"Freshman",3,2,100,110,7,30,44,43,6,"few",50
"Female","Female",66,129,8.5,"Sophomore",5,1,90,140,7,40,48,50,6,"few",35
"Female","Female",68,195,11,"Sophomore",2,1,85,0,8,21,46,57,7,"millions",50
"Male","Male",68,127,10,"Freshman",1,1,90,56,6,3,52,50,4,"thousands",95
"Female","Female",61,120,6,"Sophomore",3,2,75,10,5,22,52,61,4,"few",50
"Female","Female",64,160,7.5,"Freshman",3,1,88,76,7,14,45,55,5,"hundreds",95
"Female","Female",64,120,6.5,"Freshman",0,0,0,30,8,6,45,47,7,"few",50
"Female","Female",66,135,9,"Sophomore",4,1,80,0,6,15,56,55,7,"few",35
"Female","Female",64,120,8,"Junior",1,3,80,0,8,10,50,56,4,"millions",100
"Female","Female",64,137,8,"Sophomore",1,2,65,5,6,18,53,53,2,"one",100
"Female","Female",65,133,8,"Freshman",2,3,100,1,7,9,55,56,5,"few",80
"Male","Male",72,145,9.5,"Sophomore",4,0,155,200,6,50,55,58,7,"few",100
"Female","Female",62,124,8,"Sophomore",0,3,80,0,6,25,50,63,2,"one",100
"Female","Female",62,116,8.5,"Sophomore",0,1,100,10,6,18,45,52,4,"few",75
"Female","Female",63,140,8,"Sophomore",1,2,90,80,8,10,50,51,8,"few",90
"Female","Female",64,170,8.5,"Senior",1,0,60,50,5,20,42,48,8,"one",80
"Female","Female",64,245,9,"Sophomore",5,1,90,150,7,8,45,47,2,"few",3
"Female","Female",66,140,8,"Junior",6,0,90,4,8,25,42,45,2,"one",100
"Female","Female",66,150,8.5,"Junior",5,5,90,40,8,12,45,43,7,"dozens",100
"Male","Male",72,140,11,"Sophomore",0,1,90,25,8,4,56,50,8,"dozens",50
"Female","Female",62,120,7,"Sophomore",8,1,100,0,7,10,54,56,5,"few",50
"Female","Female",63,115,7,"Sophomore",7,2,90,700,7,15,55,50,4,"dozens",50
"Female","Female",63,145,7.5,"Freshman",1,1,80,7,8,20,46,46,8,"dozens",40
"Female","Female",64,135,8,"Freshman",2,1,80,120,7,50,44,48,6,"few",90
"Female","Female",69,190,10,"Sophomore",2,1,132,130,7,11,52,48,7,"few",100
"Female","Female",66,125,9,"Freshman",2,1,80,17,8,25,50,49,5,"dozens",90
"Female","Female",61,120,8.5,"Freshman",0,1,90,0,7,13,48,53,2,"few",90
"Female","Female",69,180,10.5,"Freshman",1,2,95,100,7,6,46,47,5,"one",100
"Female","Female",68,180,10.5,"Freshman",0,1,78,15,7,25,42,48,4,"one",50
"Female","Female",65,130,8.5,"Freshman",2,3,80,400,6,26,52,59,6,"few",69
"Male","Male",70,230,12,"Sophomore",2,2,110,1000,8,2,46,46,1,"thousands",20
"Female","Female",67,139,8,"Sophomore",3,4,90,55,6,11,48,65,4,"few",45
"Male","Male",72,169,12,"Freshman",0,1,115,59,5,5,46,43,7,"one",100
"Female","Female",62,125,9.5,"Freshman",3,1,102,0,7,3,43,50,3,"one",25
"Female","Female",59,100,5,"Sophomore",1,3,64,2,6,9,38,41,6,"few",90
"Male","Male",68,160,12.5,"Junior",0,1,110,96,7,2,51,56,7,"one",20
"Male","Male",75,174,12.5,"Sophomore",25,1,160,60,5,3,54,54,1,"few",90
"Male","Male",66,136,8,"Freshman",2,3,65,25,7,9,51,57,9,"dozens",10
"Female","Female",64,107,7,"Sophomore",0,1,90,50,7,16,55,52,9,"few",60
"Male","Male",71,150,9.5,"Freshman",0,2,108,42,7,7,47,55,6,"thousands",50
"Female","Female",62,130,7,"Sophomore",3,1,90,80,7,20,51,52,7,"few",75
"Female","Female",65,140,7,"Junior",1,1,100,200,7,15,55,55,7,"few",15
"Male","Male",69,150,10,"Freshman",0,3,96,60,7,8,48,48,3,"few",35
"Female","Female",65,164,8.5,"Sophomore",0,2,115,102,8,13,45,45,3,"one",50
"Male","Male",71,185,12,"Sophomore",5,3,100,0,7,8,43,41,8,"dozens",50
"Male","Male",70,225,11,"Sophomore",6,2,95,0,6,6,44,47,5,"few",75
"Female","Female",60,122,6,"Freshman",6,2,80,55,6,6,45,46,2,"one",40
"Female","Female",60,114,6,"Freshman",6,1,65,150,7,17,65,65,7,"dozens",65
"Female","Female",66,200,10,"Sophomore",0,0,111,20,8,25,51,58,1,"hundreds",40
"Male","Male",68,136,9,"Freshman",2,2,102,0,8,7,52,53,4,"hundreds",20
"Male","Female",70,190,10.5,"Freshman",0,2,125,150,7,6,49,49,7,"one",5
"Male","Male",70,215,11,"Sophomore",5,1,90,15,7,9,57,53,5,"few",50
"Female","Female",65,155,8.5,"Sophomore",1,1,84,130,9,8,49,48,8,"hundreds",75
"Female","Female",66,119,8,"Freshman",1,2,86,18,7,10,52,52,3,"one",87
"Female","Female",62,155,7.5,"Freshman",1,2,60,200,8,20,46,47,3,"few",70
"Female","Female",60,127,6,"Senior",0,1,75,30,8,9,52,52,10,"dozens",90
"Female","Female",61,117,7.5,"Freshman",1,3,80,140,6,12,49,50,10,"few",60
"Female","Other",60,136,7,"Freshman",5,1,0,20,6,15,57,60,7,"few",50
"Male","Male",66,160,11,"Sophomore",0,2,95,20,8,10,50,54,4,"few",0
"Female","Female",63,100,6,"Sophomore",0,1,70,5,8,10,42,48,4,"few",75
"Female","Other",68,190,9.5,"Freshman",5,1,90,100,5,8,45,45,8,"thousands",80
"Female","Female",69,150,9,"Freshman",2,1,85,9,7,22,48,56,7,"few",100
"Female","Female",64,110,6.5,"Freshman",1,0,0,0,7,6,46,50,2,"few",10
"Female","Female",65,127,8.5,"Freshman",0,2,90,35,10,40,57,57,3,"one",75
"Female","Female",62,112,6.5,"Sophomore",3,1,80,30,7,12,50,51,2,"one",50
"Female","Female",64,195,10,"Sophomore",1,1,0,0,8,21,47,44,5,"one",5
"Female","Female",63,115,6,"Freshman",4,2,95,105,5,40,51,50,6,"one",75
"Female","Female",63,113,7.5,"Freshman",2,3,80,40,7,35,45,43,2,"one",70
"Male","Male",70,215,10.5,"Freshman",0,3,115,200,7,4,57,56,5,"thousands",100
"Female","Female",68,160,9.5,"Sophomore",4,3,70,0,6,14,55,56,8,"one",80
"Female","Female",67,145,9.5,"Sophomore",0,1,85,18,5,22,53,52,7,"dozens",25
"Female","Female",62,130,8.5,"Freshman",10,2,20,120,8,4,45,46,8,"dozens",100
"Female","Female",65,130,8,"Sophomore",3,3,100,0,8,20,52,60,7,"few",10
"Female","Female",66,140,9,"Freshman",2,1,85,40,6,11,51,51,2,"one",22
"Female","Female",68,135,8.5,"Freshman",0,1,80,17,8,11,42,44,8,"few",50
"Female","Female",69,125,8.5,"Sophomore",0,2,80,0,6,20,40,40,3,"one",100
"Female","Female",62,105,7,"Senior",6,1,100,10,6,20,52,54,4,"few",80
"Female","Female",71,174,9.5,"Senior",1,0,100,0,9,10,57,44,5,"one",10
"Male","Male",72,237,11,"Freshman",2,0,0,38,8,9,51,53,7,"dozens",25
"Male","Male",74,240,15,"Junior",1,1,200,10,8,2,55,61,4,"hundreds",25
"Female","Female",63,133,7.5,"Junior",1,4,105,36,6,20,45,52,6,"hundreds",90
"Male","Male",73,170,11,"Freshman",8,6,80,0,7,6,57,63,5,"few",100
"Female","Female",61,110,6.5,"Senior",2,1,0,300,6,31,61,63,5,"one",20
"Female","Female",62,142,7,"Sophomore",0,1,87,15,6,12,35,39,2,"one",100
"Female","Female",67,155,9,"Sophomore",1,2,80,60,7,15,56,50,4,"few",95
"Female","Female",62,130,5,"Sophomore",3,4,87,15,5,8,35,36,6,"one",100
"Female","Female",65,120,7.5,"Freshman",6,3,75,90,6,40,48,50,1,"dozens",75
"Female","Female",64,138,7,"Junior",0,1,0,20,6,17,45,48,9,"few",100
"Female","Female",67,155,9.5,"Senior",12,2,90,150,8,8,52,55,6,"dozens",10
"Female","Female",62,100,6.5,"Sophomore",1,1,60,4,7,10,43,49,3,"few",99
"Male","Male",74,140,11.5,"Sophomore",1,3,0,20,6,2,51,48,7,"one",20
"Male","Male",73,210,11,"Junior",6,2,120,23,5,4,52,65,1,"few",50
"Female","Female",68,160,10,"Freshman",3,3,110,65,8,40,55,56,2,"few",100
"Male","Male",77,205,12.5,"Senior",2,1,100,0,8,10,49,48,7,"few",18
"Female","Female",64,120,6.5,"Freshman",2,3,95,20,6,25,51,56,9,"one",90
"Female","Female",66,150,9,"Sophomore",2,2,90,100,7,20,44,52,5,"few",60
"Female","Female",61,125,7,"Freshman",3,2,65,25,8,25,52,51,4,"few",50
"Male","Male",77,200,12,"Senior",0,9,120,0,10,4,48,50,6,"dozens",50
"Female","Female",61,114,7.5,"Sophomore",4,2,90,0,6,20,37,43,3,"few",80
"Male","Male",74,160,11,"Sophomore",3,1,80,10,7,2,50,48,7,"few",70
"Female","Female",61,115,6,"Sophomore",4,1,70,20,7,10,51,50,8,"one",25
"Female","Female",64,134,7.5,"Sophomore",1,1,80,0,6,15,38,40,7,"few",50
"Female","Female",65,136,6.5,"Sophomore",1,2,93,7,6,20,47,61,4,"hundreds",45
"Female","Female",68,210,10,"Sophomore",6,1,75,60,7,12,51,52,3,"few",25
"Male","Male",68,120,8.5,"Freshman",2,1,90,150,7,6,52,51,9,"few",30
"Female","Female",64,135,7.5,"Freshman",0,3,0,26,7,10,47,48,6,"few",50
"Male","Male",72,208,13,"Sophomore",8,4,107,200,8,10,42,45,7,"millions",80
"Female","Female",61,140,8,"Junior",10,3,90,30,7,6,55,56,6,"few",50
"Male","Male",73,200,12.5,"Senior",10,2,100,300,6,5,43,44,7,"dozens",100
"Female","Female",62,106,7,"Sophomore",1,1,65,5,8,10,50,50,3,"one",10
"Female","Female",62,139,6.5,"Sophomore",15,2,110,40,5,30,49,48,2,"few",100
"Male","Male",66,90,11,"Sophomore",4,0,0,100,9,7,46,48,6,"one",35
"Male","Male",63,115,8.5,"Sophomore",6,4,70,0,7,8,46,50,3,"one",0
"Male","Male",71,175,8.5,"Freshman",2,2,137,50,7,11,47,49,3,"one",60
"Female","Female",64,122,8,"Sophomore",2,1,70,70,7,20,51,50,2,"few",50
"Male","Male",72,220,11.5,"Sophomore",0,1,95,90,6,4,55,55,8,"hundreds",30
"Female","Female",65,141,8,"Freshman",3,0,95,0,6,15,44,52,6,"dozens",85
"Female","Female",60,110,6.5,"Freshman",3,2,85,40,7,10,54,60,2,"hundreds",100
"Male","Male",66,149,8.5,"Junior",6,2,125,200,7,10,55,53,1,"thousands",10
"Female","Female",66,129,9,"Freshman",0,4,100,5,7,20,50,54,7,"few",80
"Male","Male",70,136,16.5,"Freshman",0,0,0,100,7,4,45,47,2,"few",15
"Female","Female",67,124,8.5,"Junior",10,1,85,3,8,10,37,49,3,"one",35
"Female","Female",69,190,9,"Sophomore",12,4,64,10,7,18,50,53,7,"dozens",12
"Male","Male",67,125,9.5,"Freshman",4,2,50,34,7,3,42,52,2,"few",100
"Female","Female",61,125,8.5,"Sophomore",0,6,0,300,8,20,42,65,7,"few",50
"Male","Male",75,232,14,"Sophomore",2,3,120,9,7,8,48,50,10,"few",10
"Female","Female",64,140,8,"Freshman",5,2,75,20,8,30,52,52,3,"dozens",50
"Female","Female",61,102,7,"Junior",0,4,60,10,6,33,40,39,9,"one",90
"Male","Female",70,180,10,"Junior",0,0,120,1000,4,20,41,53,6,"millions",0
