"gender","greek","homeTown","ethnicity","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","policitalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Male","No","Small Town","Asian","Christian",10,100,"some","Unsure",5,9,8,7,7,7,7,9,9,7,9,7,5,5,5,8,5,7,"Independent",-1,-1,5,9,0,100,"Unsure"
"Female","No","Big City","Asian","Buddhist",3,24000,"some","Unsure",3,2,9,10,7,8,4,3,5,6,3,5,6,8,7,10,4,9,"Democrat",-1,-1,7,10,10,100,"Unsure"
"Female","No","Big City","Other","Christian",4,100,"some","Bernie Sanders",0,6,5,10,10,10,10,3,10,5,9,0,5,5,6,6,4,10,"Democrat",10,10,0,8,0,90,"Unsure"
"Female","No","Big City","Asian","Agnostic",0,500,"some","Donald Trump",5,8,6,3,9,10,2,2,4,5,4,2,6,6,7,8,5,6,"Republican",-1,-1,6,5,5,90,"Yes"
"Male","No","Medium City","Other","Christian",6,90,"some","Hillary Clinton",3,9,6,7,8,7,5,5,5,6,10,5,8,7,4,8,6,4,"Democrat",6,7,7,8,0,100,"Yes"
"Female","No","Big City","Asian","Agnostic",1,200,"some","Unsure",5,9,9,5,5,9,5,6,8,8,5,5,5,5,5,7,5,5,"Other",-1,-1,5,10,5,100,"Unsure"
"Female","No","Big City Subrub","Asian","Hindu",7,150,"some","Bernie Sanders",5,1,10,6,6,8,4,9,10,6,4,4,4,4,10,10,10,1,"Democrat",4,4,5,9,15,80,"Yes"
"Female","No","Small Town","Asian","Christian",9,60,"some","Bernie Sanders",5,10,8,9,10,10,7,5,8,8,9,7,6,5,4,8,10,4,"Independent",7,4,4,10,0,100,"Unsure"
"Male","Yes","Big City Subrub","White","Christian",4,130,"closely","John Kacich",8,1,8,4,3,2,7,8,4,7,4,9,5,8,4,10,5,6,"Republican",8,10,5,6,0,80,"Yes"
"Female","No","Big City Subrub","Asian","Atheist",0,10,"Not at all","Unsure",4,10,6,9,8,8,7,6,9,8,9,7,8,8,7,8,5,9,"Democrat",-1,-1,8,10,0,100,"Unsure"
"Female","Yes","Big City Subrub","White","Christian",1,200,"Not at all","Unsure",0,4,6,6,1,8,5,0,3,4,7,2,5,6,4,7,5,3,"Democrat",0,2,0,10,10,80,"Yes"
"Male","No","Big City Subrub","Asian","Christian",0,1000,"some","Donald Trump",4,5,3,4,7,5,7,6,6,4,5,6,2,7,7,8,4,5,"Independent",5,6,5,4,15,10,"Yes"
"Male","No","Big City Subrub","Asian","Atheist",3,20,"some","Donald Trump",0,5,2,5,7,2,7,4,8,7,7,3,3,2,5,5,8,4,"Other",7,-1,6,3,45,100,"No"
"Female","No","Big City Subrub","Asian","Atheist",0,50,"some","Bernie Sanders",2,4,2,8,10,8,2,0,6,1,9,0,10,1,10,5,5,6,"Democrat",10,9,2,7,0,50,"No"
"Male","No","Big City Subrub","White","Agnostic",2,120,"closely","Bernie Sanders",3,5,5,8,6,5,8,3,3,5,10,5,8,3,9,4,6,6,"Democrat",4,8,7,9,0,80,"No"
"Male","Yes","Big City Subrub","White","Christian",1,200,"some","Bernie Sanders",7,7,9,5,10,10,7,6,0,7,2,8,2,2,2,8,2,2,"Republican",5,10,5,9,0,60,"Yes"
"Male","Yes","Big City Subrub","White","Christian",7,364,"closely","Unsure",6,2,4,2,4,2,4,7,2,10,6,4,8,9,5,7,10,3,"Independent",-1,-1,5,10,0,100,"Unsure"
"Male","No","Big City","Asian","Buddhist",4,20,"some","Unsure",5,6,10,4,10,10,4,2,10,10,10,0,9,10,10,10,0,0,"Other",-1,-1,5,8,0,100,"No"
