"gender","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"female",63,120,8,"Freshman",0,0,85,20,7,15,54,62,8,"thousands",20
"male",75,215,12,"Sophomore",5,2,180,600,8,13,49,57,9,"few",0
"female",62,150,6,"Freshman",7,4,90,300,7,25,41,41,1,"few",5
"female",65,100,7,"Freshman",1,0,20,200,6,13,46,46,2,"one",70
"female",69,146,8.5,"Freshman",2,0,120,0,6,30,43,44,7,"one",1
"male",68,162,11,"Freshman",5,0,115,1000,6.5,5,40,50,10,"few",50
"female",67,142,8,"Junior",2,1,100,140,8,40,51,51,7,"dozens",98
"female",69,138,8,"Freshman",3,1,100,40,5.5,25,55,57,6,"few",75
"male",77,210,14,"Sophomore",1,1,90,60,7.5,8,50,52,3,"millions",50
"male",70,175,11,"Senior",4,5,110,0,7,4,57,65,3,"few",100
"male",72,200,11.5,"Sophomore",1,2,70,15,6,8,50,53,3,"few",90
"female",64,125,7.5,"Freshman",3,1,90,5,8,30,45,50,2,"one",50
"female",68,175,8.5,"Freshman",2,4,95,22,7,20,55,50,8,"dozens",60
"female",66,150,8,"Freshman",3,2,86,0,7,15,52,52,6,"dozens",96
"female",62,100,6.5,"Freshman",0,1,90,120,6.5,30,46,48,6,"few",100
"female",63,125,7,"Freshman",3,3,70,40,6,20,46,49,7,"few",50
"female",65,130,8.5,"Freshman",5,1,105,21,7.5,20,50,47,4,"few",38
"female",61,105,6,"Sophomore",1,3,75,150,8,15,55,65,5,"few",20
"male",87,83,4,"Freshman",0,0,20,9,5.5,1,48,47,1,"one",10
"female",65,105,6.5,"Sophomore",0,0,70,100,9,15,46,48,7,"few",50
"female",68,140,9,"Sophomore",1,8,101,30,8,8,54,55,4,"few",65
"male",73,181,13,"Freshman",0,1,100,40,8.5,4,53,57,7,"hundreds",100
"male",67,130,10.5,"Freshman",3,2,96,70,7,3,52,54,7,"dozens",100
"female",65,130,8,"Freshman",2,0,80,75,8.5,20,49,51,3,"few",80
"female",63,103,7.5,"Freshman",2,1,80,200,5,3,47,50,7,"few",50
"female",65,128,8.5,"Junior",5,1,101,20,6.5,15,51,52,2,"one",45
"male",68,146,12,"Freshman",0,1,25,0,7,9,45,50,1,"few",75
"female",69,120,9.5,"Freshman",1,4,80,120,8,10,58,59,6,"few",85
"female",64,135,9,"Sophomore",3,1,90,80,7,20,53,54,7,"few",20
"female",64,110,6.5,"Freshman",0,1,90,150,7,20,43,45,3,"millions",100
"male",74,145,11.5,"Sophomore",0,2,120,20,8,3,51,52,7,"millions",50
"male",73,165,12,"Freshman",1,3,90,7,8,12,61,60,4,"dozens",70
"female",62,130,7,"Junior",8,1,95,20,8,10,43,47,7,"one",20
"female",63,110,6,"Other",2,0,49,150,7,20,51,51,9,"one",50
"female",67,180,9.5,"Freshman",0,0,90,50,5,10,52,54,6,"few",9
"male",74,180,10.5,"Sophomore",1,0,140,0,8,12,45,48,5,"one",60
"female",65,140,9.5,"Freshman",3,1,85,150,6.5,12,54,60,4,"few",50
"female",64,150,8,"Freshman",1,2,120,55,8,10,37,46,6,"one",50
"female",63,130,6.5,"Freshman",0,0,80,300,6,10,40,45,6,"few",30
"female",63,94,8,"Sophomore",3,1,80,100,7.5,10,49,48,6,"few",90
"female",62,112,7,"Freshman",3,2,40,120,8.5,12,42,50,2,"few",40
"female",66,123,7,"Sophomore",0,2,63,24,7,10,54,56,6,"one",25
"male",72,185,11,"Sophomore",0,2,120,40,5,2,55,56,7,"few",10
"female",64,120,7.5,"Sophomore",1,1,110,64,8,20,57,56,5,"few",75
"female",69,170,10,"Sophomore",9,2,90,0,7.5,9,43,52,4,"few",75
"male",71,175,12,"Freshman",2,3,105,5,8.5,7,56,58,8,"thousands",80
"male",71,115,9,"Sophomore",1,1,100,20,7.5,8,49,49,3,"one",100
"male",71,155,11.5,"Freshman",4,2,100,12,7.5,2,55,58,1,"one",70
"male",70,180,10.5,"Freshman",2,1,90,50,7.5,4,56,54,7,"thousands",90
"male",73,175,12,"Freshman",0,2,105,50,8,2,46,48,6,"one",30
"female",66,185,8,"Senior",12,3,105,2,7.5,12,61,63,7,"few",50
"female",69,180,11,"Freshman",5,0,70,100,6.5,15,54,65,7,"dozens",50
"female",62,123,7,"Freshman",4,1,80,120,7,40,56,61,3,"few",50
"female",65,140,8.5,"Freshman",0,1,80,50,10,25,59,60,4,"few",50
"female",61,100,6,"Freshman",0,1,100,120,6,15,53,52,3,"one",25
"female",67,143,9.5,"Freshman",0,1,90,20,6.5,20,55,60,9,"few",50
"female",67,133,8,"Freshman",1,2,100,60,8,25,46,46,7,"hundreds",100
"female",61,100,7,"Freshman",5,3,90,50,8,20,40,48,5,"one",75
"female",69,150,8.5,"Freshman",4,3,95,0,8,15,52,52,3,"few",50
"male",69,205,11,"Freshman",1,4,110,0,7,12,43,45,6,"one",69
"female",65,160,8.5,"Freshman",1,0,60,53,7,7,55,59,7,"few",88
"male",69,185,11.5,"Freshman",0,3,180,8,5.5,6,46,64,7,"few",0
"female",65,140,9,"Junior",4,1,80,30,7,8,52,54,7,"one",7
"male",70,190,10.5,"Sophomore",6,6,106,26,7,20,39,44,5,"one",24
"male",70,180,10,"Freshman",0,2,120,3,7,10,45,49,6,"few",50
"male",71,165,11.5,"Senior",0,3,95,3,7.5,7,50,58,3,"few",100
"female",63,125,7,"Sophomore",0,1,55,55,5.5,7,45,50,4,"few",50
"female",60,125,7.5,"Freshman",1,1,20,25,6.5,12,43,44,9,"one",95
"male",73,170,12,"Freshman",0,4,110,94,6.5,12,43,48,4,"one",100
"male",68,180,11,"Freshman",1,1,100,50,9,5,47,47,10,"thousands",10
"female",65,153,8,"Freshman",3,2,50,51,7,20,41,44,8,"few",20
"female",62,125,6,"Sophomore",0,2,90,5,6,24,53,52,8,"few",100
"male",70,150,8.5,"Freshman",0,1,100,300,7.5,6,49,54,1,"dozens",50
