"gender","Greek","hometown","ethnicity","vote","vote_party","vote_pres_08","VP","vote_mother","vote_father","gay_marriage_rate","abortion","politics_self","religion_self","party","drink","ACT","GPA"
"female","yes","big city suburb","White",9,"Other","Undecided",7,"don't know","don't know",4,7,6,9,2,4,27,3.7
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",2,1,5,4,12,25,28,3.8
"female","yes","small town","White",7,"Democrat","Barak Obama/Joe Biden",4,"yes","no",3,10,4,8,15,12,26,3.7
"female","no","small town","White",8,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",1,1,5,2,8,10,29,3.1
"female","no","medium sized city","Asian",9,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",1,4,5,2,10,2,29,3.3
"male","no","big city","White",5,"Democrat","Undecided",5,"yes","yes",6,6,6,8,9,24,25,2.5
"male","no","small town","White",10,"Other","Undecided",3,"don't know","don't know",10,1,5,5,2,1,25,3.8
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"don't know","don't know",2,10,5,2,10,5,32,3.4
"male","yes","medium sized city","White",10,"Other","Undecided",2,"yes","yes",1,1,2,2,13,20,28,3.6
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",5,3,4,8,12,5,24,3.1
"female","yes","small town","White",10,"Republican","John McCain/Sarah Palin",7,"yes","yes",10,10,7,9,12,22,20,2.8
"female","no","small town","White",10,"Other","Barak Obama/Joe Biden",5,"don't know","don't know",2,5,5,2,3,0,29,3.9
"male","no","big city suburb","White",8,"Democrat","Barak Obama/Joe Biden",8,"no","no",1,1,3,5,7,20,26,2.9
"female","no","big city","White",7,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,2,2,4,3,2,30,3.4
"female","yes","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",4,3,3,6,8,5,32,3.9
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,1,2,7,0,0,28,3.7
"male","no","big city suburb","White",7,"Other","Undecided",5,"don't know","don't know",10,10,5,8,3,3,22,2.8
"male","no","big city suburb","White",10,"Republican","John McCain/Sarah Palin",5,"don't know","don't know",10,1,7,7,34,40,28,3.7
"female","no","big city suburb","White",8,"Other","Barak Obama/Joe Biden",2,"no","no",5,8,5,8,6,3,31,3.6
"female","yes","medium sized city","White",8,"Other","Barak Obama/Joe Biden",8,"don't know","don't know",4,3,5,6,10,10,27,3.6
"female","no","small town","White",9,"Democrat","Undecided",5,"yes","no",10,8,5,8,4,0,27,3.3
"female","yes","small town","White",10,"Other","Undecided",7,"yes","yes",1,5,5,9,5,2,31,4
"female","yes","medium sized city","White",10,"Republican","John McCain/Sarah Palin",7,"yes","yes",9,3,9,5,12,10,29,3.5
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",2,4,4,3,9,14,30,3.2
"female","no","big city suburb","Asian",1,"Republican","Won't vote",1,"yes","yes",1,1,1,1,1,0,9,2.9
"female","yes","big city suburb","White",1,"Other","Won't vote",1,"don't know","don't know",1,1,1,3,15,20,27,3.2
"male","no","medium sized city","Asian",5,"Democrat","Undecided",5,"no","no",5,5,5,5,4,3,27,2.6
"female","no","big city","Asian",7,"Other","Barak Obama/Joe Biden",1,"no","yes",5,1,4,5,0,0,27,3.9
"female","no","big city","Black/African American",8,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,1,7,10,3,6,18,3.1
"female","no","big city","Hispanic/Latino",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,1,1,1,3,2,24,3.2
"male","no","big city","White",1,"Other","Won't vote",1,"yes","yes",4,1,6,1,8,15,28,4
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",5,5,1,7,3,0,27,2.8
"female","no","big city suburb","Asian",3,"Republican","Won't vote",5,"no","no",5,5,3,6,5,3,29,3.5
"female","no","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",1,"yes","don't know",1,1,1,2,5,6,31,3.6
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",6,"don't know","don't know",1,3,3,7,0,0,32,3.3
"male","yes","medium sized city","White",8,"Republican","John McCain/Sarah Palin",3,"don't know","yes",1,8,7,8,35,50,32,3.8
"female","no","big city suburb","White",10,"Republican","John McCain/Sarah Palin",7,"yes","yes",10,10,10,9,9,7,23,3.7
"male","no","big city suburb","Asian",10,"Democrat","Barak Obama/Joe Biden",8,"yes","no",8,8,2,8,12,25,34,3.3
"female","yes","big city suburb","White",10,"Republican","John McCain/Sarah Palin",3,"don't know","yes",10,1,8,4,12,18,26,3.3
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",1,2,2,3,6,7,28,3.8
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",3,"don't know","no",1,1,3,8,8,8,32,4
"male","no","big city","Asian",9,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,3,3,5,12,15,28,3.2
"female","no","big city","Hispanic/Latino",4,"Republican","Undecided",5,"yes","don't know",10,9,5,9,3,0,25,3.5
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",1,"don't know","yes",5,1,5,8,8,8,22,2.9
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",5,"don't know","don't know",1,5,3,4,30,38,25,3
"female","yes","big city suburb","White",5,"Republican","John McCain/Sarah Palin",2,"yes","yes",2,10,8,7,10,4,31,2.5
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",7,"yes","don't know",1,3,5,7,20,21,28,3.8
"female","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,1,7,7,8,2,22,2.4
