"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",60,120,7,20,"Sophomore",9,2,65,200,6.5,52,54,2,"one",90
"female",58,145,4,15,"Sophomore",4,2,85,5,7,38,37,7,"dozens",30
"male",72,165,11.5,3,"Sophomore",0,4,20,22,6.5,44,47,2,"none",40
"female",68,164,10,13,"Junior",3,2,90,200,10.5,58,65,6,"one",10
"male",71,145,10,5,"Sophomore",0,0,90,110,6,48,54,9,"dozens",70
"female",66,160,8.5,11,"Freshman",0,2,55,13,5.5,39,51,3,"few",90
"male",72,158,10,3,"Freshman",1,0,80,10,7,46,47,5,"few",80
"female",65,112,7,6,"Sophomore",8,0,95,42,8.5,49,49,2,"millions",85
"male",74,200,14,11,"Junior",2,0,182,42,5.5,51,51,2,"few",5
"female",65,144,8.5,9,"Junior",2,3,95,300,8,40,42,6,"few",100
"male",70,186,9.5,9,"Sophomore",4,6,20,11,7.5,57,55,7,"dozens",5
"male",70,160,9.5,10,"Senior",2,1,70,20,8.5,51,53,1,"thousands",50
"female",67,145,9,10,"Sophomore",5,3,85,25,7.5,58,61,7,"few",80
"female",63,100,7.5,1,"Junior",1,1,90,3,8.5,49,53,6,"few",2
"male",71,145,9.5,3,"Sophomore",0,0,60,400,9,51,51,7,"one",100
"female",59,109,8,40,"Junior",0,4,20,1000,8,54,53,3,"few",30
"female",67,125,8,12,"Sophomore",5,4,90,25,7,56,56,8,"few",50
"male",73,186,13,3,"Junior",4,1,85,100,6.5,53,58,3,"thousands",3
"male",67,138,8.5,4,"Sophomore",1,1,130,150,8,58,55,7,"few",10
"female",64,130,7,15,"Senior",2,3,110,2,7,50,57,2,"few",50
"female",67,135,9,20,"Freshman",10,3,80,23,5.5,45,45,8,"few",100
"female",59,120,7,15,"Sophomore",0,1,60,8,6.5,49,54,1,"few",80
"female",67,140,7,25,"Sophomore",8,2,105,50,8,54,61,3,"one",70
"female",65,140,7.5,15,"Freshman",5,2,91,56,9,49,49,7,"hundreds",99
"male",68,140,10.5,4,"Freshman",3,2,90,30,7.5,62,62,5,"hundreds",95
"male",67,178,10.5,18,"Sophomore",1,0,55,88,7,52,56,7,"one",75
"male",77,215,13.5,4,"Sophomore",1,3,83,12,7.5,52,59,4,"few",100
"female",71,150,9,10,"Freshman",1,2,90,100,8.5,46,47,1,"few",100
"female",66,130,8,50,"Sophomore",1,1,120,80,6,53,50,3,"one",100
"female",60,139,6.5,50,"Sophomore",1,3,100,1,7,39,40,1,"one",60
"female",63,125,8,23,"Senior",2,1,120,200,7,53,52,8,"one",75
"male",69,140,11,6,"Sophomore",0,0,110,150,7,45,51,4,"thousands",25
"male",72,165,10,6,"Sophomore",5,4,150,800,5.5,44,56,1,"few",10
"female",67,135,8,10,"Junior",1,2,95,0,6.5,48,50,3,"dozens",100
"female",69,106,8,12,"Freshman",0,1,25,80,6.5,47,47,3,"dozens",90
"male",67,150,7.5,2,"Freshman",0,0,55,70,7,48,47,7,"one",50
"female",62,121,6.5,12,"Sophomore",12,7,45,0,7,43,40,3,"few",90
"male",67,145,10,5,"Sophomore",2,1,105,30,5,53,54,8,"few",50
"male",72,215,11,4,"Junior",1,3,153,0,8,52,56,10,"few",0
"male",77,160,14,4,"Sophomore",4,2,96,29,8,43,43,7,"dozens",90
"female",66,130,8,12,"Sophomore",3,3,90,0,6.5,45,50,9,"one",100
"female",63,120,7,60,"Sophomore",2,1,90,10,8,50,50,8,"few",75
"female",66,135,5.5,15,"Freshman",1,0,80,50,7.5,48,48,6,"few",50
"female",70,160,10.5,6,"Junior",2,1,100,200,9,60,61,7,"hundreds",100
"female",67,220,9.5,6,"Junior",12,2,100,7,7,51,60,7,"one",10
"female",62,149,8,20,"Junior",2,0,110,15,7,50,59,5,"one",100
"female",61,105,6.5,30,"Freshman",0,1,60,0,8,57,59,3,"one",100
"female",60,103,5,25,"Freshman",0,1,80,80,8,50,50,8,"few",40
"female",65,138,10,30,"Junior",2,4,149,104,7,45,45,8,"few",90
"female",68,140,9,19,"Freshman",12,3,95,200,7.5,42,43,1,"few",20
"female",62,111,7,30,"Freshman",3,2,40,60,6,44,52,7,"few",50
"male",71,220,12,15,"Senior",10,1,120,100,8,53,53,1,"few",100
"female",62,130,7,35,"Freshman",5,3,80,27,7.5,56,57,2,"dozens",80
"female",68,147,9.5,30,"Freshman",0,1,65,100,6,51,61,2,"few",50
"female",64,150,8.5,20,"Sophomore",1,0,80,51,7,51,53,7,"few",70
"male",70,165,10.5,5,"Sophomore",4,2,95,5,6.5,50,52,6,"dozens",100
"female",62,124,6,14,"Sophomore",0,1,75,48,7.5,52,54,4,"dozens",15
"male",71,131,9.5,2,"Sophomore",1,1,20,120,8,41,50,7,"few",40
"female",69,160,8.5,12,"Sophomore",14,3,99,106,7,49,54,7,"one",90
"female",60,140,7,25,"Sophomore",8,2,90,5,6.5,40,40,8,"hundreds",90
"male",68,174,10,5,"Sophomore",1,1,80,400,8,46,52,5,"one",100
"female",68,155,9.5,25,"Junior",0,4,102,15,5,48,52,9,"dozens",100
"female",69,145,10.5,10,"Freshman",4,1,75,100,8,49,51,9,"one",50
"female",64,110,6.5,20,"Junior",10,1,100,35,8,49,52,4,"one",40
"female",65,130,8,13,"Sophomore",2,1,95,50,8,45,47,7,"few",47
"female",65,160,10,30,"Freshman",3,2,100,8,7,45,46,9,"few",80
"male",65,110,8.5,7,"Junior",2,3,110,20,8,42,47,3,"dozens",100
"female",65,115,7,32,"Sophomore",1,1,100,30,6,48,49,7,"dozens",80
"female",62,165,9,12,"Sophomore",6,1,200,24,7,52,58,2,"few",10
"female",64,137,8.5,35,"Junior",1,2,105,50,6,60,65,7,"few",99
"male",69,170,9.5,4,"Freshman",1,1,40,40,7,47,53,7,"few",80
"female",68,120,7.5,40,"Sophomore",6,1,80,40,6.5,59,59,5,"few",90
"male",78,198,13,8,"Sophomore",3,2,105,20,5,47,49,1,"one",0
