"reason","god","devil","heaven","hell","miracles","angels","ghosts","reincarnation","astrology","psychics","witches","zombies","vampires","UFO","afraidWalkAtNight","debate","debateWinner","likelyVote","candidate","environment","terrorism","economy","racism","policeBrutality","lawAndOrder","genderEquality","borderSecurity","familyValues","bigMoney","gunRights","voteParents","section"
1,4,0,5,4,10,0,0,3,5,0,5,0,0,0,"No","Just a few clips","Unsure",10,"Gary Johnson",5,8,4,3,4,5,5,6,5,4,4,"Unsure","L1"
8,8,2,7,5,10,10,6,2,4,3,2,0,0,4,"Yes","Most of it","No opinion",10,"Other",9,6,10,5,0,4,1,2,3,8,7,"No","L1"
10,3,0,5,1,7,9,10,8,0,2,0,0,0,4,"No","No","Unsure",9,"Hillary Clinton",10,8,8,10,8,4,10,3,0,8,0,"No","L1"
10,10,0,10,0,10,0,0,0,0,0,0,0,0,5,"Yes","Just a few clips","Unsure",0,"Other",10,10,5,10,10,5,10,5,0,5,10,"Unsure","L1"
10,8,0,10,2,10,10,0,4,2,2,0,0,0,0,"Yes","No","Unsure",10,"Hillary Clinton",7,10,8,10,10,10,10,5,6,0,8,"Yes","L1"
10,10,9,10,9,10,10,8,7,8,8,3,1,2,6,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,10,9,10,10,7,10,5,10,9,6,"Yes","L1"
7,5,0,3,0,4,0,10,10,5,10,0,0,0,10,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",10,6,10,10,10,7,10,4,0,7,0,"No","L1"
8,3,3,2,2,6,4,3,5,5,2,0,0,0,0,"Yes","No","No opinion",0,"Unsure",7,8,6,7,7,8,8,8,3,6,4,"No","L1"
10,10,10,10,10,10,10,10,3,7,5,4,3,2,5,"Yes","Just a few clips","Donald Trump",8,"Donald Trump",5,10,5,7,6,5,0,10,8,5,8,"Yes","L1"
7,8,6,8,5,10,8,9,7,8,9,7,6,6,9,"Yes","Just a few clips","Hillary Clinton",7,"Hillary Clinton",7,9,9,9,8,9,9,7,8,8,0,"Yes","L1"
8,10,0,0,0,5,4,1,0,3,0,0,0,0,0,"Yes","Most of it","Hillary Clinton",11,"Hillary Clinton",7,6,6,10,10,8,10,5,0,10,0,"Yes","L1"
6,1,0,1,0,0,0,3,2,1,1,4,3,1,1,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",9,8,9,10,10,6,10,1,0,8,3,"Yes","L1"
8,10,0,9,5,8,2,5,6,7,5,0,0,0,1,"Yes","No","Hillary Clinton",10,"Hillary Clinton",7,9,5,10,10,10,8,6,10,6,7,"Yes","L1"
10,10,10,10,10,10,10,10,10,0,5,10,0,0,0,"No","Just a few clips","Hillary Clinton",5,"Hillary Clinton",7,4,10,10,7,7,0,10,0,4,0,"Yes","L1"
7,6,5,6,5,6,7,8,2,3,5,6,0,0,0,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,10,10,10,10,10,10,7,7,9,3,"Yes","L1"
5,6,5,7,5,8,5,7,10,0,2,0,0,0,7,"No","All of it","Unsure",10,"Jill Stein",10,5,9,8,10,5,6,9,8,10,6,"No","L1"
1,0,0,0,0,5,0,0,0,0,1,0,0,0,1,"Yes","Just a few clips","Hillary Clinton",0,"Unsure",5,10,8,10,10,10,10,6,2,10,5,"Unsure","L1"
3,5,8,5,5,0,0,0,5,5,5,0,0,0,6,"Yes","Most of it","Hillary Clinton",-1,"Unsure",3,7,4,6,6,5,6,5,8,6,0,"Yes","L1"
6,1,0,6,0,3,0,7,4,3,0,0,0,0,3,"No","Just a few clips","Hillary Clinton",9,"Hillary Clinton",8,7,9,7,8,8,10,5,3,7,0,"Yes","L1"
9,0,2,0,0,4,0,4,8,6,3,0,0,0,6,"Yes","No","Hillary Clinton",9,"Hillary Clinton",7,5,7,3,5,7,8,2,0,2,0,"Yes","L1"
8,10,10,10,10,10,10,0,0,0,0,0,0,0,0,"Yes","Most of it","Unsure",10,"Unsure",4,7,5,4,5,8,5,3,8,10,8,"Yes","L1"
7,10,10,10,10,3,6,7,4,1,1,2,0,0,9,"Yes","No","Hillary Clinton",10,"Hillary Clinton",8,5,9,10,8,6,10,1,2,10,4,"No","L1"
10,10,1,10,6,10,10,7,6,2,10,0,0,0,0,"Yes","Most of it","Donald Trump",10,"Donald Trump",9,10,0,7,2,6,8,0,10,0,7,"Yes","L1"
7,10,9,6,6,10,5,3,10,7,6,0,0,5,1,"Yes","No","No opinion",6,"Donald Trump",10,9,4,4,6,10,8,2,5,0,0,"Yes","L1"
10,10,10,10,10,6,10,9,10,5,5,3,1,1,2,"Yes","No","Hillary Clinton",4,"Hillary Clinton",10,10,8,10,10,5,8,10,6,8,4,"Yes","L1"
8,10,6,10,6,7,10,8,5,3,8,0,0,0,6,"Yes","Most of it","Hillary Clinton",8,"Hillary Clinton",10,10,10,8,10,6,10,5,0,10,4,"Yes","L1"
10,0,0,8,2,2,5,2,9,10,0,0,0,0,10,"Yes","Most of it","Donald Trump",7,"Donald Trump",10,10,5,3,10,10,7,8,10,7,7,"Yes","L1"
7,2,2,2,2,2,2,6,5,3,1,1,1,1,10,"No","Just a few clips","Unsure",8,"Hillary Clinton",9,7,9,7,10,8,3,1,2,9,7,"Yes","L1"
