"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",64,106,8.5,10,"Junior",1,3,100,17,6,47,43,3,"one",50
"female",65,142,9,30,"Junior",3,4,120,4,6,45,65,8,"one",40
"female",67,115,6,10,"Junior",0,1,50,20,6,50,52,3,"few",10
"male",69,135,9.5,4,"Sophomore",0,1,95,8,6,51,53,4,"one",70
"male",71,125,10,6,"Senior",5,2,90,10,6,54,58,4,"few",80
"male",74,184,13.5,7,"Sophomore",10,1,85,2,6,52,53,5,"few",100
"male",70,188,10.5,12,"Sophomore",0,2,110,50,6,43,43,5,"dozens",100
"female",63,100,6.5,20,"Senior",2,1,102,3,6,48,55,6,"one",5
"female",64,97,6.5,15,"Sophomore",0,2,65,33,6,46,53,3,"one",100
"female",62,115,6,10,"Freshman",1,2,70,20,6,41,45,4,"few",20
"female",63,145,7.5,5,"Senior",3,1,85,45,6,51,58,9,"one",50
"female",63,190,7.5,34,"Freshman",0,2,90,61,6,53,55,4,"hundreds",35
"female",59,118,7,11,"Junior",10,6,95,25,6,46,48,9,"one",90
"male",70,165,9.5,10,"Sophomore",2,2,60,0,6,36,39,6,"few",70
"male",68,144,10,4,"Senior",1,0,101,0,6,53,54,2,"hundreds",89
"female",65,180,8.5,20,"Sophomore",3,2,106,44,6,53,53,4,"one",75
"female",66,143,9,14,"Freshman",1,2,87,48,6,52,51,3,"dozens",80
"female",66,128,7.5,20,"Freshman",0,2,70,40,6,49,49,3,"one",50
"female",60,93,5.5,12,"Sophomore",4,6,80,0,6,59,59,8,"few",100
"female",64,125,8,15,"Junior",4,1,90,700,6,49,49,3,"one",90
"female",64,189,8,20,"Junior",8,3,77,60,6,54,54,4,"one",50
"male",74,220,12,8,"Freshman",0,0,110,100,6,46,45,7,"one",95
"female",65,125,6.5,13,"Sophomore",4,2,80,0,6,51,50,1,"few",100
"female",61,207,9,30,"Junior",0,2,120,0,6,51,55,3,"few",33
"female",63,142,8.5,30,"Sophomore",1,0,85,23,6,46,46,6,"hundreds",50
"female",67,135,9,25,"Freshman",0,1,80,100,6,48,48,9,"few",50
"female",63,140,8,15,"Junior",2,2,75,12,6,52,52,9,"one",100
"female",60,110,6,5,"Freshman",1,3,75,50,6,52,59,6,"one",98
"female",63,120,7.5,15,"Sophomore",3,5,20,30,6,50,55,9,"few",70
"female",62,125,6.5,18,"Junior",2,5,95,21,6,42,40,1,"none",50
"female",62,130,8,25,"Sophomore",8,1,90,100,6,47,50,8,"few",50
"female",65,127,8.5,5,"Junior",15,1,46,900,6,49,54,4,"few",40
"female",64,105,5.5,10,"Freshman",0,1,60,30,6,47,49,8,"few",30
"female",64,125,6.5,13,"Freshman",6,1,60,300,6,56,61,4,"few",85
"female",64,105,6.5,20,"Sophomore",0,1,85,80,6,55,63,3,"few",50
"female",70,185,10,40,"Sophomore",4,2,94,40,6,49,49,3,"few",90
"female",66,130,8,9,"Sophomore",5,2,70,20,6,48,55,3,"few",25
"female",64,153,7.5,25,"Sophomore",3,5,82,8,6,52,52,8,"one",90
"female",60,131,7.5,13,"Senior",0,1,100,25,6,44,50,8,"few",50
"female",65,160,8.5,15,"Freshman",0,2,90,100,6,54,52,2,"few",50
"male",69,186,11.5,5,"Senior",1,2,80,30,6,53,55,9,"few",100
"female",62,115,7.5,20,"Freshman",0,6,110,30,6,53,55,6,"few",50
"female",62,99,6.5,22,"Sophomore",0,1,36,50,6,45,46,3,"few",20
"male",74,168,11.5,6,"Freshman",0,3,80,40,6,49,51,5,"few",60
"female",65,123,9,20,"Freshman",3,2,95,54,6,49,50,5,"one",5
"male",70,150,10,8,"Sophomore",3,2,120,60,6,42,44,9,"dozens",20
"female",65,125,7.5,40,"Sophomore",0,2,75,20,6,49,50,9,"one",25
"female",63,125,7.5,35,"Junior",1,2,90,40,6,49,52,8,"one",5
"female",65,130,7,30,"Senior",0,2,95,31,6,56,60,7,"one",100
"female",61,120,6,20,"Sophomore",2,1,115,0,6,51,53,4,"one",100
"female",64,165,8.5,20,"Sophomore",3,5,80,25,6,37,38,4,"one",50
"female",62,145,7,10,"Sophomore",0,1,120,7,6,41,45,6,"few",95
"male",70,190,12,6,"Freshman",0,1,110,10,6,50,50,6,"few",40
"female",67,175,12,9,"Freshman",1,4,95,14,6,53,59,1,"one",99
"female",63,138,8.5,16,"Junior",1,3,90,28,6,50,53,7,"few",90
"female",62,140,8,5,"Sophomore",0,2,100,300,6,48,56,2,"one",88
"male",71,160,11,12,"Sophomore",1,3,95,19,6,56,59,5,"millions",80
"female",67,135,8.5,17,"Senior",2,0,100,0,6,60,59,4,"few",45
"male",67,155,10,5,"Sophomore",5,4,100,13,6,51,54,2,"few",80
"female",64,118,7.5,20,"Sophomore",8,2,88,12,6,49,52,5,"one",50
"female",59,96,6,25,"Freshman",2,1,80,100,6,41,41,6,"few",58
"male",73,150,10.5,6,"Freshman",1,1,90,32,6,43,45,4,"one",70
"female",66,130,8.5,13,"Freshman",2,2,80,50,6,53,59,2,"one",50
"female",64,120,7.5,10,"Sophomore",0,1,70,150,6,48,54,8,"one",50
"female",62,177,6.5,20,"Sophomore",0,1,70,300,6,52,51,7,"few",40
"female",63,111,7,30,"Senior",7,1,110,0,6,54,54,1,"few",20
"male",70,179,11.5,7,"Sophomore",1,2,130,100,6,54,58,6,"one",30
"female",67,158,9.5,31,"Junior",3,2,105,10,6.5,39,42,4,"one",0
"female",65,143,7.5,12,"Freshman",1,0,72,3,6.5,56,65,3,"few",20
"female",65,125,8.5,10,"Freshman",1,2,80,150,6.5,40,44,3,"few",50
"female",64,125,8.5,20,"Freshman",3,2,90,0,6.5,49,49,5,"one",70
"male",64,140,8,6,"Sophomore",1,1,100,88,6.5,50,51,9,"dozens",10
"female",65,130,8.5,15,"Senior",4,3,80,0,6.5,51,61,7,"few",10
"male",73,155,11,18,"Sophomore",11,2,95,2,6.5,56,63,4,"few",100
"female",64,120,7.5,3,"Senior",0,1,75,5,6.5,57,61,3,"few",50
"female",65,115,6.5,10,"Sophomore",4,1,80,50,6.5,49,52,2,"one",100
"male",69,175,10.5,4,"Freshman",0,0,140,2,6.5,59,57,5,"one",99
"female",66,140,8,38,"Freshman",1,3,92,14,6.5,53,52,2,"few",95
"female",65,149,7.5,50,"Sophomore",4,1,89,10,6.5,45,54,8,"one",100
"female",71,150,9.5,15,"Junior",1,2,70,10,6.5,51,50,5,"few",50
"female",60,105,5,10,"Sophomore",1,3,80,0,6.5,38,42,3,"few",89
"female",68,112,7.5,26,"Sophomore",2,1,80,46,6.5,48,49,5,"few",44
"female",62,132,6.5,20,"Sophomore",0,4,45,18,6.5,53,46,10,"one",50
"female",66,135,8,15,"Sophomore",2,1,95,5,6.5,53,56,8,"few",99
"male",73,160,11.5,4,"Junior",3,2,80,40,6.5,55,55,9,"few",70
"male",75,157,10.5,9,"Sophomore",2,0,90,42,6.5,52,54,9,"dozens",70
"female",63,108,6,25,"Freshman",0,2,101,40,6.5,45,52,8,"dozens",30
"female",62,139,7,11,"Junior",6,1,109,105,6.5,53,54,2,"one",11
"female",66,151,9.5,20,"Sophomore",0,4,87,24,6.5,48,53,10,"one",66
"female",62,120,7,25,"Freshman",2,1,95,3,6.5,47,48,4,"few",80
"female",62,150,7.5,20,"Senior",3,1,100,20,6.5,42,47,5,"one",10
"female",63,140,7.5,14,"Sophomore",0,2,90,7,6.5,48,47,9,"one",50
"female",70,150,9.5,15,"Junior",8,3,110,10,6.5,54,55,8,"few",60
"female",63,130,8.5,11,"Sophomore",0,3,40,20,6.5,45,45,3,"dozens",75
"female",68,170,11,12,"Freshman",0,1,65,30,6.5,55,55,2,"few",50
"male",74,180,13,5,"Sophomore",0,3,105,200,6.5,48,49,8,"one",30
"female",64,128,7,30,"Sophomore",0,1,84,65,6.5,50,52,9,"one",98
"male",69,166,9.5,5,"Sophomore",1,3,90,9,6.5,44,44,5,"few",10
"female",63,130,6.5,23,"Freshman",4,4,95,18,6.5,47,49,8,"few",20
"male",67,225,9.5,10,"Sophomore",3,2,150,700,6.5,44,53,6,"dozens",100
"female",62,130,7,25,"Sophomore",8,1,105,0,6.5,53,55,4,"few",35
"male",68,128,9.5,4,"Senior",2,2,90,65,6.5,55,55,8,"few",75
"female",63,110,6.5,25,"Sophomore",0,2,75,59,6.5,53,61,3,"few",30
"male",76,170,13,3,"Senior",2,0,90,40,6.5,57,59,6,"few",50
"male",62,135,9.5,5,"Junior",0,5,100,60,6.5,38,46,7,"few",50
