"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Male","Yes","suburbs","White","Agnostic",1,28,3.2,10,10,1,1,14,"College",2,0,50,0,"No",1,4,5,4,7,0,80
"Female","No","suburbs","Black","Christian",6,24,2.5,5,1,4,1,13,"College",2,30,45,2,"No",1,5,3,8,7,0,70
"Male","No","big_city","Asian","Atheist",3,27,3.5,4,2,3,2,14,"middle_school",5,0,15,10,"No",5,5,5,10,10,0,100
"Female","No","suburbs","Hispanic","Christian",5,26,3.9,0,0,2,2,16,"middle_school",1,0,50,0,"No",8,4,3,5,8,10,100
"Female","No","big_city","Hispanic","Christian",5,24,2.7,2,1,3,2,15,"middle_school",2,0,40,4,"No",8,6,7,7,8,5,0
"Male","Yes","suburbs","White","Christian",2,33,3.1,10,20,3,2,14,"High_School",1,0,50,2,"No",1,5,8,7,9,0,20
"Female","Yes","suburbs","White","Agnostic",0,34,3.8,22,30,3,3,15,"College",3,0,40,0,"No",0,7,5,7,0,25,50
"Female","No","suburbs","Hispanic","Christian",8,26,4,0,0,1,1,14,"College",7,0,10,5,"No",8,5,3,0,8,0,90
"Female","Yes","suburbs","White","Agnostic",0,28,3.3,25,40,3,1,16,"College",1,0,43,0,"No",2,4,4,5,8,0,100
"Male","No","Medium_City","White","Christian",7,29,3.4,10,16,0,1,17,"High_School",5,2,30,0,"No",3,5,8,2,10,15,50
"Male","No","Medium_City","Asian","Buddhist",3,26,3.4,1,0,2,4,14,"High_School",4,3,50,0,"No",5,5,5,5,5,0,100
"Male","No","Small_Town","Black","Christian",7,27,3.6,0,0,0,1,9,"College",8,0,22,7,"No",8,4,5,6,9,5,100
"Female","No","suburbs","Other","Muslim",5,24,4,2,0,2,2,16,"College",5,0,50,5,"No",3,3,3,6,6,0,100
"Male","No","Small_Town","White","Christian",3,27,4,3,0,0,1,17,"College",1,0,20,0,"No",0,0,2,6,8,10,100
"Male","No","Small_Town","White","Christian",4,26,4,0,0,2,0,20,"middle_school",14,0,1,7,"No",5,4,5,10,7,0,50
"Female","Yes","suburbs","White","Christian",9,30,3.8,5,5,2,2,15,"College",1,1,50,9,"No",9,8,7,5,10,0,100
"Female","No","suburbs","White","Jewish",3,30,3.6,5,7,2,2,14,"High_School",6,0,31,0,"No",0,3,7,5,9,0,100
"Female","No","Small_Town","White","Christian",8,27,3.7,0,0,0,1,15,"High_School",4,4,18,5,"No",9,5,6,6,10,20,20
"Male","Yes","suburbs","White","Christian",2,30,3.3,3,6,3,1,17,"High_School",4,0,50,0,"No",0,2,4,5,8,0,100
"Male","No","Small_Town","White","Atheist",0,31,4,10,16,7,1,14,"High_School",2,0,10,2,"No",0,5,9,10,10,0,0
"Male","Yes","suburbs","White","Jewish",3,29,3,10,10,0,0,17,"College",3,1,10,0,"No",0,0,5,7,5,5,100
"Female","No","big_city","Hispanic","Christian",8,24,2,0,0,2,3,13,"High_School",10,0,50,0,"No",3,3,5,10,9,25,10
"Male","No","big_city","Black","Atheist",0,26,2.7,5,5,0,1,7,"College",1,0,35,5,"No",5,3,5,7,8,10,60
"Female","No","Small_Town","White","Christian",5,24,4,10,10,4,2,14,"High_School",5,10,50,5,"No",5,5,5,5,7,0,20
"Female","No","Small_Town","White","Christian",9,35,4,4,1,0,2,15,"College",3,1,50,0,"No",7,2,3,4,9,0,90
"Male","No","big_city","Asian","Atheist",0,30,3.6,2,0,0,1,15,"middle_school",0,0,27,8,"No",6,5,5,5,5,0,30
"Female","Yes","Medium_City","Black","Christian",8,27,3.5,0,0,0,0,15,"College",5,0,40,10,"No",8,3,5,3,9,10,10
"Male","No","suburbs","White","Agnostic",0,28,3.4,3,0,0,0,0,"College",0,2,50,0,"No",4,3,8,7,3,5,100
"Female","No","suburbs","White","Christian",7,29,1,4,4,0,1,16,"High_School",4,0,50,1,"No",6,6,2,4,9,0,100
"Female","No","suburbs","Black","Christian",8,23,3.2,4,1,3,2,16,"College",7,20,10,0,"No",4,6,3,5,10,10,0
"Male","No","big_city","Black","Christian",4,21,2.9,3,4,4,2,16,"middle_school",11,50,50,4,"No",5,2,7,7,8,15,10
"Female","No","suburbs","Other","Christian",1,25,3,12,10,5,2,18,"High_School",2,3,20,0,"No",7,2,4,8,7,10,0
"Female","No","Medium_City","White","Agnostic",1,25,3.2,0,0,0,0,0,"College",5,0,10,0,"No",5,5,2,2,8,0,50
"Male","Yes","suburbs","White","Christian",7,29,2.7,6,5,2,0,13,"College",1,0,30,2,"No",4,3,2,5,3,15,0
"Male","No","big_city","White","Christian",8,31,3.9,0,0,0,0,0,"High_School",2,0,7,5,"No",5,6,4,8,7,0,100
"Female","No","Small_Town","White","Christian",8,30,4,0,0,0,1,16,"High_School",7,0,50,10,"No",10,10,8,6,9,0,0
"Male","No","Small_Town","Other","Christian",10,28,3.1,16,15,0,2,16,"College",7,50,50,10,"No",9,10,8,4,10,25,100
"Female","No","suburbs","Asian","Buddhist",5,27,3.3,10,6,1,1,13,"College",3,2,40,0,"No",2,2,6,5,4,10,50
"Female","No","big_city","Hispanic","Christian",7,22,3.7,10,20,5,2,13,"College",15,10,50,0,"No",7,3,4,5,7,10,0
"Female","No","suburbs","Other","Christian",4,23,3.2,2,0,1,1,15,"College",7,0,50,1,"No",5,4,7,6,10,0,0
"Female","Yes","suburbs","Other","Other",7,27,3.9,10,10,10,3,13,"College",5,6,50,0,"No",0,2,8,9,10,10,100
"Male","Yes","Small_Town","White","Christian",5,27,4,15,35,2,1,15,"High_School",5,0,50,3,"No",9,7,5,7,8,40,90
"Female","No","big_city","Black","Christian",4,20,3.4,12,7,3,2,13,"College",3,50,50,0,"No",3,6,3,3,8,0,0
"Male","No","Medium_City","Asian","Agnostic",2,30,3,1,1,1,2,18,"College",1,0,3,5,"No",5,3,8,9,8,0,100
"Female","No","suburbs","White","Christian",2,29,3.4,20,15,2,2,16,"College",3,18,50,0,"No",3,1,3,0,4,0,50
"Female","Yes","suburbs","White","Christian",5,29,3.4,10,15,1,1,16,"College",2,2,50,0,"No",7,5,6,5,8,10,50
"Male","Yes","Medium_City","Hispanic","Christian",3,31,3.5,30,35,1,1,16,"College",4,20,40,1,"Yes",2,2,3,8,8,0,50
"Male","No","Medium_City","White","Christian",7,26,3.8,3,5,1,3,15,"middle_school",12,0,11,5,"No",9,7,7,3,10,15,30
"Male","No","big_city","White","Atheist",0,30,2.9,8,10,0,0,16,"0_Kindergarten",3,0,5,0,"No",5,3,4,5,7,0,70
"Male","No","suburbs","White","Christian",0,30,3.9,5,3,3,2,14,"High_School",15,5,50,0,"Yes",0,0,5,5,10,0,100
"Female","No","big_city","Hispanic","Other",6,21,3.4,0,0,0,2,15,"High_School",5,0,21,0,"No",10,4,6,3,8,10,30
"Female","Yes","suburbs","Asian","Christian",2,31,3.1,8,5,2,0,15,"College",7,0,50,2,"No",3,5,8,5,9,0,100
"Male","Yes","Medium_City","White","Agnostic",7,32,3.8,10,20,6,1,14,"College",1,0,5,0,"Yes",0,5,7,8,10,10,100
"Female","No","suburbs","Black","Christian",2,27,4,6,2,1,1,17,"College",4,0,50,0,"No",0,1,4,5,6,0,20
"Female","No","big_city","Hispanic","Christian",5,25,4,2,0,0,0,6,"1st_5th_grade",5,30,15,5,"Yes",0,5,3,6,8,0,10
"Female","No","suburbs","Black","Christian",6,19,2.5,10,2,1,2,16,"High_School",11,3,25,5,"No",5,3,3,5,5,0,20
"Female","No","suburbs","White","Atheist",0,29,3,0,0,1,1,17,"College",15,0,15,0,"No",0,2,7,2,8,5,10
"Male","No","big_city","Black","Other",2,19,2.8,8,2,10,2,12,"College",0,1,50,0,"No",5,8,5,3,0,20,0
"Male","No","big_city","Asian","Other",0,18,3,0,0,1,1,16,"High_School",1,0,29,5,"No",5,5,5,5,5,0,100
"Female","No","Medium_City","Asian","Christian",9,23,3.1,0,0,0,0,0,"College",2,0,20,5,"No",10,3,5,4,10,0,50
