"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Female","Female",66,300,10,"Sophomore",3,2.8,22,2,2,95,30,8,10,50,47,7,"few",50
"Male","Male",70,140,10,"Freshman",6,3.7,27,6,3,70,0,7,8,45,47,5,"none",100
"Female","Female",62,125,8.5,"Junior",3.5,2.7,29,0,2,100,40,8,20,40,43,4,"one",25
"Female","Female",64,150,8,"Freshman",3,3.7,29,0,2,70,10,8,10,50,52,5,"dozens",99
"Male","Male",72,155,10,"Junior",0.5,3.3,19,0,1,102,17,6.5,22,49,51,7,"hundreds",46
"Female","Female",61,117,6.5,"Sophomore",3.5,2.3,27,2,1,0,46,7.5,8,48,52,8,"few",10
"Female","Female",65,156,9,"Junior",4,2.8,18,7,2,100,120,5.5,10,43,48,4,"one",25
"Female","Female",64,110,6,"Freshman",2.5,4,32,2,1,70,100,6,8,49,47,8,"few",90
"Female","Female",65,168,8,"Junior",3,3,18,4,2,100,50,7.5,10,56,61,10,"one",60
"Female","Female",67,127,7.5,"Freshman",9,4,29,1,2,96,15,5.5,11,55,51,7,"few",100
"Female","Female",66,140,7,"Sophomore",2,2.5,22,0,2,100,5,7,20,51,53,6,"few",15
"Male","Male",68,170,10,"Sophomore",3,3.4,28,1,1,110,0,8,4,56,60,7,"few",75
"Female","Female",66,125,9,"Sophomore",1.5,3,20,3,5,90,700,6,15,42,40,9,"few",51
"Female","Female",67,124,7,"Freshman",1.5,3.5,27,3,2,0,0,6,10,52,50,4,"few",90
"Female","Female",66,123,9,"Freshman",5,4,27,0,1,90,13,7,25,47,54,9,"few",50
"Male","Male",67,135,8,"Senior",7,3.2,26,1,2,90,0,4,4,50,50,9,"millions",0
"Female","Female",69,155,9.5,"Freshman",2.5,4,31,0,2,90,6,7,20,58,65,3,"few",60
"Female","Female",61,115,6.5,"Freshman",2,4,27,4,0,110,120,8,5,41,46,3,"dozens",100
"Female","Female",71,135,9.5,"Freshman",1.5,3.9,27,2,1,90,75,6.5,35,45,51,3,"one",100
"Female","Female",62,110,6.5,"Freshman",1.5,3.3,25,2,1,95,20,7.5,15,49,49,5,"few",50
"Male","Male",70,156,10.5,"Freshman",3.5,4,29,1,4,95,140,6,5,51,51,9,"thousands",35
"Male","Male",77,240,13,"Junior",3.5,3,29,10,1,120,300,7,5,59,63,7,"thousands",100
"Female","Female",62,135,7.5,"Freshman",4,3.6,26,9,1,80,25,7,10,40,41,7,"one",30
"Female","Female",62,166,7.5,"Sophomore",2.5,3.4,31,0,0,91,70,8,5,49,50,7,"hundreds",5
"Female","Female",62,100,7,"Sophomore",5,3.2,27,0,3,70,65,8.5,25,50,53,7,"few",80
"Male","Male",70,154,10.5,"Sophomore",3.5,3,32,1,0,90,0,10,8,52,55,6,"one",1
"Female","Female",62,119,7.5,"Freshman",2.5,4,28,0,3,120,40,6.5,11,57,57,3,"one",50
"Male","Male",71,150,12,"Freshman",8,4,30,1,1,98,20,9,5,51,52,7,"thousands",10
"Female","Female",67,125,7,"Sophomore",2,3.7,29,1,1,101,120,6,20,50,54,5,"millions",25
"Female","Female",64,130,6,"Freshman",2,4,23,2,8,80,3,8,15,47,46,6,"dozens",50
"Female","Female",63,100,7.5,"Freshman",1.5,3.4,29,3,1,60,100,8,4,48,56,4,"few",95
"Female","Female",66,130,9,"Senior",1.5,3.8,26,1,0,90,17,7.5,20,52,63,2,"one",50
"Female","Female",66,173,8.5,"Sophomore",2,3,25,6,2,70,2,8,20,52,56,2,"few",75
"Female","Female",65,115,8.5,"Freshman",3.5,3.8,34,9,0,100,38,6.5,7,50,57,2,"one",30
"Female","Female",65,132,10,"Freshman",4,3.8,30,1,2,65,6,7,25,47,47,4,"one",100
"Male","Male",67,156,10,"Freshman",2.5,2.5,29,2,2,107,35,7.5,4,50,50,7,"hundreds",20
"Female","Female",65,120,8.5,"Freshman",2,3.8,27,3,1,90,40,8,15,49,49,6,"few",30
"Male","Male",67,165,9,"Sophomore",2,1.7,22,3,2,90,20,7.5,6,43,40,4,"few",40
"Female","Female",66,123,7.5,"Sophomore",1.5,3.6,31,3,2,75,55,8,35,56,61,9,"few",50
"Female","Female",68,145,10,"Freshman",3,3.7,28,5,3,98,20,8.5,12,59,59,10,"hundreds",100
"Male","Male",67,147,8.5,"Sophomore",4,2.2,26,8,2,60,4,9,7,48,54,10,"hundreds",50
"Female","Female",67,138,10,"Freshman",2,4,30,8,1,80,50,8,23,37,42,4,"one",100
"Male","Male",72,110,10.5,"Freshman",7,3.2,32,1,2,36,11,8,5,40,50,3,"hundreds",50
"Male","Male",72,150,11,"Sophomore",3,2.7,23,8,2,120,28,6,12,57,55,7,"dozens",9
"Female","Female",68,115,8,"Junior",4,3.6,25,5,3,99,0,6,8,48,40,3,"few",29
"Female","Female",67,130,6.5,"Sophomore",6,3.1,31,0,0,0,104,8,8,46,48,6,"few",75
"Male","Male",68,170,9.5,"Freshman",1,3.9,29,3,2,135,23,6.5,5,39,36,4,"hundreds",90
"Female","Female",63,140,8.5,"Sophomore",3,3.1,28,1,2,85,60,7,27,63,62,6,"one",49
"Female","Female",66,152,9.5,"Sophomore",2,3,25,1,2,0,40,6.5,11,48,47,6,"few",20
"Male","Male",69,143,9,"Freshman",8,4,30,1,0,0,500,6.5,6,47,47,7,"few",80
"Female","Female",65,125,8,"Freshman",1,3.5,28,2,2,115,50,8,17,56,58,4,"few",20
"Female","Female",64,145,9,"Sophomore",2,3.8,29,0,1,92,45,8,24,48,49,7,"few",100
"Male","Male",68,156,9.5,"Freshman",0.5,3.4,25,1,1,115,3,7,5,59,65,8,"dozens",100
"Male","Male",71,164,12.5,"Freshman",2.5,2,23,4,3,75,140,7.5,5,54,49,6,"dozens",50
"Female","Female",66,130,7,"Sophomore",3.5,3.5,29,1,0,50,0,7,20,62,61,6,"few",60
"Female","Female",64,145,8,"Sophomore",1,3.6,30,0,2,60,10,6,30,52,49,5,"few",98
"Female","Female",62,102,6,"Freshman",1,3.7,32,2,1,95,72,8,10,52,49,1,"dozens",50
"Female","Female",64,105,5,"Freshman",2,3.8,32,0,1,105,100,7,23,46,47,8,"hundreds",30
"Female","Female",64,148,8,"Sophomore",1.5,3.6,25,0,2,90,20,7,10,51,51,8,"dozens",99
"Male","Male",71,180,10.5,"Freshman",2,3.5,24,5,4,120,100,8,13,55,52,2,"one",50
"Female","Female",60,94,6,"Freshman",2,4,24,0,2,0,110,8,4,45,50,4,"none",50
"Male","Male",71,160,9.5,"Sophomore",3,2.8,25,5,2,84,200,5.5,3,50,54,6,"few",50
"Female","Female",64,124,7,"Sophomore",5.5,3.7,27,0,2,70,30,7,14,50,52,6,"few",90
"Female","Female",66,135,11,"Sophomore",1,3,26,5,2,85,20,8,30,52,53,5,"few",75
"Female","Female",63,135,7.5,"Freshman",1.5,4,27,3,2,80,0,8,10,52,54,5,"few",75
"Female","Female",60,118,7,"Freshman",2,4,35,0,2,85,40,7.5,10,42,46,7,"few",10
"Female","Female",62,120,8.5,"Freshman",2,4,25,0,3,85,0,6.5,20,49,50,6,"dozens",60
"Female","Female",65,150,8.5,"Freshman",0,4,26,3,1,125,30,5,30,50,60,8,"one",15
"Female","Female",61,97,7,"Sophomore",1,3.3,31,10,1,95,10,7,9,50,54,4,"few",100
"Female","Female",64,125,8.5,"Freshman",3,4,30,3,1,90,44,5.5,18,53,53,6,"one",99
"Female","Female",62,115,8,"Freshman",1.5,3.4,28,1,0,90,400,7,10,58,60,10,"few",50
"Male","Male",70,166,11,"Sophomore",1,2.9,28,0,1,120,40,7,6,52,55,6,"few",65
"Female","Female",60,140,6,"Sophomore",2,3.3,27,0,2,60,75,7,9,40,47,7,"few",80
"Female","Female",63,121,6.5,"Sophomore",2.5,3.5,23,2,2,85,17,8.5,7,42,47,7,"few",40
"Female","Female",65,134,8.5,"Sophomore",1,4,23,2,2,92,12,10,18,54,55,9,"few",90
"Female","Female",65,145,7.5,"Junior",4,3.5,23,5,4,0,12,8,6,43,45,5,"few",90
"Female","Female",71,135,10,"Sophomore",2,3.4,29,7,3,90,45,7,25,49,50,2,"hundreds",100
"Female","Female",62,120,7.5,"Sophomore",0.5,3.4,27,3,1,102,0,8,10,42,46,5,"dozens",100
"Female","Female",66,158,8,"Junior",6,3.4,26,30,3,112,35,8,25,54,52,4,"few",100
"Male","Male",74,240,11,"Senior",4.5,3.6,24,1,1,105,1,8.5,2,51,58,5,"few",60
"Female","Female",62,125,7.5,"Freshman",2,4,25,2,1,110,30,9,20,52,53,4,"one",25
"Female","Female",62,200,9.5,"Sophomore",3,3.2,20,5,2,70,40,8.5,20,48,48,3,"few",50
"Female","Female",66,240,10,"Junior",4.5,3.7,25,0,3,20,0,7,14,54,54,4,"few",25
"Female","Female",67,150,9,"Freshman",3,4,26,1,2,93,5,7.5,16,53,51,7,"one",60
"Male","Male",75,168,11,"Sophomore",1,3.2,23,2,4,0,1000,6,15,60,64,3,"thousands",100
"Female","Female",63,260,9,"Freshman",2,3,22,0,1,75,90,6,33,53,55,3,"one",100
"Male","Male",72,175,12,"Sophomore",2.5,2.7,22,0,2,100,0,9,11,38,39,5,"few",50
"Female","Female",63,110,7,"Junior",6.5,3.6,22,0,3,90,10,8,13,47,48,5,"one",90
"Female","Female",61,125,7,"Freshman",4,4,31,0,3,90,200,7,10,48,51,3,"one",100
"Male","Male",68,180,10.5,"Freshman",0.5,3.5,26,2,2,93,73,6,10,52,53,5,"few",100
"Male","Male",70,145,9,"Freshman",2,3.9,28,0,2,110,20,6.5,8,47,52,7,"dozens",90
"Female","Female",61,125,7.5,"Junior",3.5,3,22,11,4,95,0,8,40,49,61,2,"one",50
"Female","Female",67,145,8.5,"Freshman",1,4,25,0,1,80,20,8,15,52,56,4,"dozens",50
"Female","Female",67,125,8,"Freshman",3,4,22,1,1,100,0,4,50,53,54,7,"dozens",30
"Female","Female",60,115,7,"Sophomore",2,3.2,26,5,3,85,2,7,12,42,45,5,"few",60
"Male","Male",68,140,10,"Sophomore",8,2.8,23,2,4,80,1,7,8,42,45,3,"millions",50
"Female","Female",70,155,10,"Freshman",2,4,27,3,2,85,75,8,10,47,47,6,"millions",60
"Female","Female",62,115,7.5,"Sophomore",6,3.5,21,30,2,120,0,10,5,56,65,3,"few",100
"Male","Male",74,135,10.5,"Freshman",2,4,34,0,1,60,500,7.5,6,47,49,6,"thousands",50
